created_at,text
2025-04-22 20:49:19+00:00,"@ksorbs @AOC Brother, she may be trying to avoid you on JetBlue or Spirit Airlines."
2025-04-22 20:39:36+00:00,"@Delta customer “service” and #diamondmedallion makes promises that Delta customer “care” refuses to honor.  I’ve had some bad #CustomerExperience’s, but this is the worst!  Callous, inconsiderate, placating.  Would you treat customers like that @SouthwestAir? @JetBlue? @united?"
2025-04-22 19:46:42+00:00,"BOS ✈️ SRQ
B6 (JetBlue) 341

So long, New England! https://t.co/deJQ1rTBzT"
2025-04-22 19:36:09+00:00,@MackinnonGoat Flying back on JetBlue from Boston lol
2025-04-22 19:35:11+00:00,"Tourism Tuesday! Montauk is magical for both local residents &amp; Long Island visitors. 📸: Megan

@aveloair @breezeairways @flyfrontier @jetblue @southwestair"
2025-04-22 19:30:05+00:00,Flying JetBlue the best Airline in America by far Golf bag No problem 😌 to go with it have a nice trip! FLY JETBLUE don't get ripped off by Southwest😢🤷‍♂️ https://t.co/pY0EuwC9E9
2025-04-22 19:27:26+00:00,@0xgaut @JetBlue are you still asking us to buy headphones in flight?
2025-04-22 19:24:50+00:00,@JetBlue The Most Amazing Airline CHRIS at the Fort Myers airport no stress even though we were Late!! Made us comfortable 🙏🏿CHRIS. Thats why I am Mosaic and only fly JetBlue 😂😍😌
2025-04-22 18:35:07+00:00,"#JetBlue isn’t just flying—it's fueling the future. ✈️🌱

Explore how the airline is investing in sustainable aviation fuel (SAF) to cut emissions and chart a climate-smart flight path. Case study: https://t.co/Rg6F4Ma3eZ

#SustainableAviation #SAF #SustainableAviation #EarthDay https://t.co/OCAWgMdabc"
2025-04-22 18:17:19+00:00,@RedSox @JetBlue Hope he does this against the mariners but they have elite starting pitching and top players ranked top 5 in walks
2025-04-22 21:04:37+00:00,JetBlue need to resume the FLL flight man
2025-04-22 21:01:46+00:00,@AS_12239 Old design on new JetBlue plane
2025-04-22 20:57:46+00:00,"Tourism Tuesday! Montauk is magical for both local residents &amp; Long Island visitors. 📸: Megan

@aveloair @breezeairways @flyfrontier @jetblue @southwestair https://t.co/nCrAFLjXfw"
2025-04-22 21:55:20+00:00,@JetBlue don’t know how much they annoyed me bey
2025-04-22 21:35:38+00:00,"❤️ MCO is having a GOOD day. Out of 89 upcoming flights:

⚠️ 12 are delayed
⛔️ 1 are cancelled
✅ 76 are on time

🛂 TSA General Avg: 17 mins
⏩ TSA PreCheck Avg: 2 mins

‼️ Most Cancellations: JetBlue
❗️ Most Delays: Southwest

Score: 0.90"
2025-04-22 22:38:14+00:00,@0xgaut @JetBlue you gonna step it up?
2025-04-22 23:10:32+00:00,Wish JetBlue get Sinners lemme take it in when i leave here
2025-04-22 23:06:33+00:00,"@JetBlue once again I had to deal with the JetBlue representative,no help from them whatsoever.The Trawel bank credit system is terrible thing.Whay a https://t.co/Cc87uhCexi used to be a decent company,not anymore.Worse that it could be imaginad."
2025-04-22 23:05:41+00:00,"❤️ MCO is having a GOOD day. Out of 70 upcoming flights:

⚠️ 10 are delayed
⛔️ 1 are cancelled
✅ 59 are on time

🛂 TSA General Avg: 11 mins
⏩ TSA PreCheck Avg: 2 mins

‼️ Most Cancellations: JetBlue
❗️ Most Delays: Southwest

Score: 0.89"
2025-04-22 23:54:14+00:00,"@BasedMikeLee ***CORRECTION, MIKE!  Not quite CO2.  I think the planes runs off of the hot methane the commie’s fart outta both ends.  Flying JetBLUE, right?  Blue Darting their Marxist asses around the country."
2025-04-22 23:44:11+00:00,@JetBlue I’m on the flight from hell right now customer service absolutely awful. JetBlue should be ashamed
2025-04-22 23:26:59+00:00,"@Keiron_Jefe Not that fast, is wishful thinking with me. But JetBlue (dunno bout d others) Updates every month and this month new ones was Den of Thieves 2, Mufasa, Wicked etc and all of them come out 2025?"
